
--- 2026-09-22 17:19:56.792798 开始记录 ---
Ilog_system_init:log init ok, buf=4096, filter=1
Iio_system_init:IO System Init OK
Iw25qxx_drv_init:W25Q init start
Iw25qxx_drv_init:W25Q init OK (ID:0xEF17)
Iads1255_init:ADS0: Initting
Iads1255_init:Init ok
Iads1255_init:ADS1: Initting
Iads1255_init:Init ok
Iadc_system_init:ADS Init OK
RE35211,4985252,5177178,5038376,5149956
RE35212,4985257,5177110,5037205,5149949
RE35213,4985337,5177199,5037563,5149206
RE35214,4985206,5177620,5035498,5148691
RE35215,4985218,5177052,5036878,5148420
RE35216,4985316,5176938,5036994,5148256
RE35217,4985467,5177196,5035966,5147235
RE35218,4985459,5177587,5035153,5146803
RE35219,4985027,5177294,5034129,5145366
ADC_LIMIT:4985935,5178139,5042482,5154990,4983439,5175378,5028858,5141121
RE35220,4985340,5177352,5032454,5144550
RE35221,4985001,5177382,5032238,5145943
RE35222,4985178,5177223,5031053,5145352
RE35223,4985239,5177362,5031274,5143435
RE35224,4985197,5177444,5030636,5143292
RE35225,4985198,5177201,5030207,5144448
RE35226,4985463,5177420,5031182,5143602
RE35227,4985130,5177681,5030228,5143195
RE35228,4985362,5177685,5031313,5143208
RE35229,4985757,5177561,5031122,5143518
RE35230,4985388,5177665,5030499,5142919
RE35231,4985144,5177465,5030276,5143088
RE35232,4985381,5177332,5031397,5144507
RE35233,4985545,5177166,5031974,5143765
RE35234,4985317,5177144,5030950,5143509
RE35235,4985206,5177107,5032896,5144132
RE35236,4985397,5177576,5032015,5145775
RE35237,4985302,5177391,5033906,5145771
ADC_LIMIT:4985935,5178139,5042482,5154990,4983439,5175378,5028858,5141121
RE35238,4985514,5177694,5034164,5146627
RE35239,4985186,5177574,5033980,5146449
RE35240,4985288,5177602,5033289,5148433
RE35241,4985418,5177463,5037226,5148722
RE35242,4985381,5177486,5035546,5148710
RE35243,4985442,5177401,5037485,5149108
RE35244,4985402,5177811,5037831,5148934
RE35245,4985341,5177646,5039286,5149924
RE35246,4985268,5177377,5039217,5150513
RE35247,4985297,5177064,5039503,5151477
RE35248,4985318,5177239,5039235,5152425
RE35249,4985325,5177653,5039757,5152011
RE35250,4984957,5177237,5040187,5152286
RE35251,4985250,5177495,5038447,5151749
RE35252,4985300,5177186,5039119,5151136
RE35253,4985331,5177464,5038584,5152584
RE35254,4985161,5177531,5039309,5152977
RE35255,4985384,5177357,5038862,5151759
ADC_LIMIT:4985935,5178139,5042482,5154990,4983439,5175378,5028858,5141121
RE35256,4985400,5177255,5038223,5149785
RE35257,4985281,5177502,5038540,5151749
RE35258,4985307,5177398,5038499,5151856
RE35259,4985260,5177224,5037107,5150379
RE35260,4984785,5177538,5036921,5150639
RE35261,4984978,5177165,5035563,5147559
RE35262,4984990,5177189,5034960,5148205
RE35263,4984853,5177488,5034794,5148183
RE35264,4984874,5177049,5035025,5147638
RE35265,4985062,5177606,5033286,5148730
RE35266,4985258,5177111,5033823,5147235
RE35267,4984995,5177434,5032492,5145793
RE35268,4985416,5176968,5032852,5144703
RE35269,4985114,5176826,5031392,5143202
RE35270,4985327,5176999,5031551,5144652
RE35271,4985121,5177040,5032164,5143835
RE35272,4985236,5177635,5031361,5145084
ADC_LIMIT:4985935,5178139,5042482,5154990,4983439,5175378,5028858,5141121
RE35273,4985374,5177363,5031209,5143519
RE35274,4985427,5177407,5031647,5143846
RE35275,4985198,5177299,5032370,5144986
RE35276,4985240,5177421,5031920,5144562
RE35277,4985174,5177475,5032241,5144615
RE35278,4985244,5177385,5031365,5145534
RE35279,4985360,5177583,5032180,5144490
RE35280,4985545,5177595,5032011,5144267
RE35281,4985536,5177497,5031349,5146423
RE35282,4985419,5177627,5032721,5145746
RE35283,4985525,5177297,5033479,5146056
RE35284,4985494,5177684,5034178,5145324
RE35285,4985701,5177684,5034097,5147837
RE35286,4985708,5177126,5034975,5147463
RE35287,4985154,5177629,5033508,5147028
RE35288,4985589,5177411,5035944,5148270
RE35289,4985414,5177314,5035756,5147327
RE35290,4985223,5177324,5035515,5149489
ADC_LIMIT:4985935,5178139,5042482,5154990,4983439,5175378,5028858,5141121
RE35291,4985048,5177319,5037209,5149009
RE35292,4985204,5177227,5036599,5149996
RE35293,4985390,5177443,5038385,5150469
RE35294,4985463,5177483,5036944,5149307
RE35295,4985175,5177455,5038574,5151074
RE35296,4985145,5177427,5038204,5150015
RE35297,4985134,5177584,5038698,5150561
RE35298,4985305,5177306,5037314,5151272
RE35299,4985086,5177554,5038373,5150708
RE35300,4985028,5177592,5038098,5150892
RE35301,4985325,5177370,5037902,5151775
RE35302,4985189,5177177,5038662,5149622
RE35303,4984814,5177220,5038631,5150707
RE35304,4985386,5177261,5037136,5150432
RE35305,4985069,5177445,5036038,5151742
RE35306,4985190,5177476,5038030,5149366
RE35307,4985261,5177403,5038499,5148520
RE35308,4985313,5177148,5035825,5147901
ADC_LIMIT:4985935,5178139,5042482,5154990,4983439,5175378,5028858,5141121
RE35309,4985483,5177533,5036115,5146463
RE35310,4985190,5177194,5035430,5147471
RE35311,4984799,5177441,5033615,5146779
RE35312,4985144,5177595,5033150,5147568
RE35313,4985076,5177518,5034384,5145590
RE35314,4985267,5177416,5031836,5146182
RE35315,4985220,5177404,5031636,5144137
RE35316,4985177,5177199,5031156,5143802
RE35317,4984891,5177559,5029687,5143069
RE35318,4985090,5177207,5032001,5143588
RE35319,4985478,5177584,5029856,5143225
RE35320,4985251,5177519,5031424,5143312
RE35321,4985271,5177081,5031013,5144254
RE35322,4984873,5177436,5031117,5142804
RE35323,4984822,5177516,5031630,5144822
RE35324,4985099,5177643,5031673,5145254
RE35325,4985155,5177681,5031935,5144078
ADC_LIMIT:4985935,5178139,5042482,5154990,4983439,5175378,5028858,5141121
RE35326,4985052,5177374,5031488,5144778
RE35327,4985346,5177683,5032761,5144656
RE35328,4985153,5177571,5033992,5146631
RE35329,4985264,5177545,5032991,5146843
RE35330,4985342,5177770,5033968,5146337
RE35331,4985055,5177674,5034816,5148351
RE35332,4985603,5177930,5035512,5149159
RE35333,4985449,5177726,5035523,5149063
RE35334,4985575,5177738,5037171,5149753
RE35335,4985301,5177664,5037140,5150257
RE35336,4985449,5177568,5038043,5151696
RE35337,4985256,5177192,5038928,5150881
RE35338,4985133,5177154,5038920,5149638
RE35339,4985230,5177029,5038191,5150931
RE35340,4985315,5177275,5039704,5152359
RE35341,4985059,5177648,5040149,5152210
RE35342,4985263,5177273,5039049,5152830
RE35343,4984898,5177495,5038225,5152221
ADC_LIMIT:4985935,5178139,5042482,5154990,4983439,5175378,5028858,5141121
RE35344,4985078,5177622,5038860,5151681
RE35345,4985132,5177412,5038928,5152523
RE35346,4985047,5177316,5039827,5151403
RE35347,4985242,5177541,5038408,5150408
RE35348,4984979,5177489,5039303,5150952
RE35349,4984918,5177361,5036833,5150013
RE35350,4985096,5177480,5036892,5149259
RE35351,4985271,5177645,5036408,5147674
RE35352,4985293,5177506,5035935,5148944
RE35353,4985402,5177531,5036395,5147921
